year,head_no,actual,approved,revised,estimate
2012,184,377000,25000000,,1042000
2012,186,1145425,1306014,1277658,1334342
2012,188,317588,332454,338814,349694
2012,190,12083898,11027723,11708125,13304129
2012,194,5951662,6118761,6245202,6487026
2013,21,90155,93070,92372,94481
2013,22,951814,2211842,2008045,1579239
2013,23,66577,71970,72188,75158
2013,24,124754,129568,134519,137368
2013,25,1616696,1643927,1683979,1733990
2013,26,776343,576367,546431,590713
2013,27,81611,88374,88918,96253
2013,28,767095,820331,833781,853813
2013,30,2983617,3058900,3124070,3235902
2013,31,2549770,2779156,2788031,3107689
2013,33,1791973,1905979,1815607,2029341
2013,37,4393525,5301176,5061183,5580318
2013,39,1880413,1903557,1945218,1996348
2013,42,355702,384903,383846,509032
2013,44,2969843,2765575,2702205,3132891
2013,45,4173274,4398921,4496758,4691796
2013,46,2655867,2902608,2781622,3044324
2013,47,655161,626478,638298,671357
2013,48,347306,375228,381078,411240
2013,49,4668970,4937174,5002611,5200542
2013,51,1652976,1768829,1748146,1889157
2013,53,14764515,1319803,1301609,1393644
2013,55,246753,298214,335671,326031
2013,59,445210,539454,534452,526171
2013,60,2263032,2360274,2338005,2475061
2013,62,2050378,173196,2077062,210178
2013,63,1723426,1893058,1884186,2022532
2013,70,3124877,3312198,3374579,3546855
2013,72,821245,875545,875389,927340
2013,74,362080,395702,403666,405986
2013,76,1188457,1375873,1324736,1431999
2013,78,100556,115177,113970,121505
2013,79,112055,113679,113679,116913
2013,80,1057691,1209562,1136597,1272125
2013,82,872062,1085700,1030438,1124935
2013,90,1270314,2930303,1447025,2040432
2013,91,1849683,1943909,2009643,2071602
2013,92,1119862,1250519,1277346,1401718
2013,94,704706,794523,870217,842163
2013,95,5825415,6146782,6238209,6538016
2013,96,302112,303546,306397,324678
2013,100,974509,1013991,1018948,1045050
2013,106,115525,34542507,990607,57272497
2013,112,568927,585785,650366,664384
2013,114,94164,94655,99085,99540
2013,116,126082,148181,141090,155159
2013,118,490754,528503,540448,574397
2013,120,19737349,23093310,22052660,25509500
2013,121,36089,37919,46685,49833
2013,122,13750863,14059209,14413766,14776454
2013,136,18932,18114,18319,20059
2013,137,65292,67171,63003,72755
2013,138,689601,800664,630465,763645
2013,139,58852,78531,59803,80496
2013,140,38969146,41705880,53218009,45568939
2013,141,554997,679878,632541,717785
2013,142,594407,694789,698733,739840
2013,143,440344,459574,467014,499173
2013,144,387434,459632,454255,500086
2013,147,30147821,13240890,14244025,1812850
2013,148,190341,218136,217948,239173
2013,151,233543,310451,261320,313589
2013,152,1269448,1380483,1338612,1539475
2013,155,502660,515467,538022,559228
2013,156,44662190,43193527,50746729,44478419
2013,158,134407,145786,148817,169179
2013,159,301553,350511,358667,472729
2013,160,539904,618020,620372,754288
2013,162,405033,444019,442479,484270
2013,163,352839,605648,546849,94315
2013,166,530194,686509,634387,515835
2013,168,225606,238750,245185,247367
2013,169,16096,16967,16757,18014
